nohup: ignoring input
[ 1] local::disk.dev.write["sdb"]
[ 2] local::disk.dev.write_bytes["sdb"]
[ 3] local::disk.dev.read["sdb"]
[ 4] local::disk.dev.read_bytes["sdb"]
[ 5] local::filesys.used["/dev/sdb"]
[ 6] local::filesys.usedfiles["/dev/sdb"]

             Column,     1,     2,     3,     4,     5,     6
             Source,local:,local:,local:,local:,local:,local:
             Metric, write,_bytes,  read,_bytes,  used,dfiles
               Inst,   sdb,   sdb,   sdb,   sdb,/dev/s,/dev/s
              Units,   c/s,   b/s,   c/s,   b/s,     b,  none
2020-07-17 10:48:40,     ?,     ?,     ?,     ?, 0.74G,35.66K
2020-07-17 10:48:41, 4.00 ,49.15K, 0.00 , 0.00 , 0.74G,35.66K
2020-07-17 10:48:42, 2.00 ,24.54K, 0.00 , 0.00 , 0.74G,35.66K
2020-07-17 10:49:35,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:36,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:37,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:38,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:39,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:40,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:41,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:42,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:43,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:44,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:45,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:46,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:47,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:48,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:49,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:50,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:51,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:52,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:53,5.000000,71301.120000,0.000000,0.0,794568949.76,36546.56,19
2020-07-17 10:49:54,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:55,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:56,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:57,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:49:58,8.000000,83875.840000,0.000000,0.0,794568949.76,36546.56,4
2020-07-17 10:49:59,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:00,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:01,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:02,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:03,5.000000,20971.520000,0.000000,0.0,794568949.76,36546.56,4
2020-07-17 10:50:04,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:05,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:06,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:07,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:08,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:09,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:10,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:11,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:12,5.000000,54538.240000,0.000000,0.0,794568949.76,36546.56,8
2020-07-17 10:50:13,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:14,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:15,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:16,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:17,13.000000,92293.120000,0.000000,0.0,794568949.76,36546.56,4
2020-07-17 10:50:18,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:19,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:20,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:21,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:22,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:23,2.000000,25149.440000,0.000000,0.0,794568949.76,36546.56,5
2020-07-17 10:50:24,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:25,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:26,1.000000,4188.160000,0.000000,0.0,794568949.76,36546.56,2
2020-07-17 10:50:27,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:28,18.020000,136314.880000,0.000000,0.0,794568949.76,36546.56,1
2020-07-17 10:50:29,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:30,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:31,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:32,2.000000,46120.960000,0.000000,0.0,794568949.76,36546.56,3
2020-07-17 10:50:33,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:34,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:35,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:36,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:37,7.000000,37765.120000,0.000000,0.0,794568949.76,36546.56,4
2020-07-17 10:50:38,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:39,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:40,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:41,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:42,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:43,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:44,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:45,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:46,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:47,5.000000,75499.520000,0.000000,0.0,794568949.76,36546.56,9
2020-07-17 10:50:48,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:49,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:50,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:51,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:52,5.000000,25169.920000,0.000000,0.0,794568949.76,36546.56,4
2020-07-17 10:50:53,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:54,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:55,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:56,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:57,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:58,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:50:59,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:00,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:01,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:02,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:03,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:04,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:05,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
