nohup: ignoring input
[ 1] local::disk.dev.write["sdb"]
[ 2] local::disk.dev.write_bytes["sdb"]
[ 3] local::disk.dev.read["sdb"]
[ 4] local::disk.dev.read_bytes["sdb"]
[ 5] local::filesys.used["/dev/sdb"]
[ 6] local::filesys.usedfiles["/dev/sdb"]

             Column,     1,     2,     3,     4,     5,     6
             Source,local:,local:,local:,local:,local:,local:
             Metric, write,_bytes,  read,_bytes,  used,dfiles
               Inst,   sdb,   sdb,   sdb,   sdb,/dev/s,/dev/s
              Units,   c/s,   b/s,   c/s,   b/s,     b,  none
2020-07-17 10:49:40, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:41, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:42, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:43, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:44, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:45, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:46, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:47, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:48, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:49, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:50, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:51, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:52, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:53, 5.00 ,69.63K, 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:54, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:55, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:56, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:57, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:58, 8.00 ,81.91K, 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:49:59, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:00, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:01, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:02, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:03, 5.00 ,20.48K, 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:04, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:05, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:06, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:07, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:08, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:09, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:10, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:11, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:12, 5.00 ,53.26K, 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:13, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:14, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:15, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:16, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:17,13.00 ,90.13K, 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:18, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:19, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:20, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:21, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:22, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:23, 2.00 ,24.56K, 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:24, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:25, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:26, 1.00 , 4.09K, 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:27, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:28,18.02 , 0.13M, 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:29, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:30, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:31, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:32, 2.00 ,45.04K, 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:33, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:34, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:35, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:36, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:37, 7.00 ,36.88K, 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:38, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:39, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:40, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:41, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:42, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
